Gene ID	source_id	Product Description
TGME49_200010	TGME49_200010-t26_1	dense granule protein GRA20
TGME49_200110	TGME49_200110-t26_1	hypothetical protein
TGME49_200130	TGME49_200130-t26_1	Toxoplasma gondii family C protein
TGME49_200230	TGME49_200230-t26_1	microneme protein MIC17C
TGME49_200240	TGME49_200240-t26_1	microneme protein MIC17B
TGME49_200250	TGME49_200250-t26_1	microneme protein MIC17A
TGME49_200260	TGME49_200260-t26_1	hypothetical protein
TGME49_200270	TGME49_200270-t26_1	PAN/Apple domain-containing protein
TGME49_200280	TGME49_200280-t26_1	WD domain, G-beta repeat-containing protein
TGME49_200290	TGME49_200290-t26_1	rhomboid protease ROM1
TGME49_200295	TGME49_200295-t26_1	hypothetical protein
TGME49_200300	TGME49_200300-t26_1	hypothetical protein
TGME49_200310	TGME49_200310-t26_1	hypothetical protein
TGME49_200320	TGME49_200320-t26_1	hypoxanthine-xanthine-guanine phosphoribosyl transferase HXGPRT
TGME49_200330	TGME49_200330-t26_1	basal complex component BCC9
TGME49_200340	TGME49_200340-t26_1	hypothetical protein
TGME49_200350	TGME49_200350-t26_1	subtilisin SUB3
TGME49_200360	TGME49_200360-t26_1	hypothetical protein
TGME49_200370	TGME49_200370-t26_1	prenyltransferase FT
TGME49_200375	TGME49_200375-t26_1	hypothetical protein
TGME49_200385	TGME49_200385-t26_1	bradyzoite-formation deficient protein BFD1
TGME49_200400	TGME49_200400-t26_1	serine/threonine-protein phosphatase PP2A regulatory subunit PR48
TGME49_200410	TGME49_200410-t26_1	hypothetical protein
TGME49_200430	TGME49_200430-t26_1	cytidine and deoxycytidylate deaminase zinc-binding region domain-containing protein
TGME49_200440	TGME49_200440-t26_1	hypothetical protein
TGME49_200450	TGME49_200450-t26_1	hypothetical protein
TGME49_200460	TGME49_200460-t26_1	hypothetical protein
TGME49_200470	TGME49_200470-t26_1	hypothetical protein
TGME49_200480	TGME49_200480-t26_1	Toxoplasma gondii family B protein
TGME49_200590	TGME49_200590-t26_1	Toxoplasma gondii family C protein
TGME49_200595	TGME49_200595-t26_1	hypothetical protein
TGME49_200600	TGME49_200600-t26_1	hypothetical protein
TGME49_200700	TGME49_200700-t26_1	Toxoplasma gondii family C protein
TGME49_201100	TGME49_201100-t26_1	hypothetical protein
TGME49_201110	TGME49_201110-t26_1	hypothetical protein
TGME49_201120	TGME49_201120-t26_1	ELMO/CED-12 family protein
TGME49_201130	TGME49_201130-t26_1	rhoptry kinase family protein ROP33
TGME49_201140	TGME49_201140-t26_1	hypothetical protein
TGME49_201150	TGME49_201150-t26_1	heavy metal translocating P-type ATPase subfamily protein
TGME49_201160	TGME49_201160-t26_1	hypothetical protein
TGME49_201170	TGME49_201170-t26_1	hypothetical protein
TGME49_201180	TGME49_201180-t26_1	megakaryocyte stimulating factor MSF
TGME49_201190	TGME49_201190-t26_1	hypothetical protein
TGME49_201200	TGME49_201200-t26_1	cleavage and polyadenylation specificity factor subunit 4
TGME49_201210	TGME49_201210-t26_1	hypothetical protein
TGME49_201215	TGME49_201215-t26_1	hypothetical protein
TGME49_201220	TGME49_201220-t26_1	preconoidal ring protein PCR4
TGME49_201230	TGME49_201230-t26_1	kinesin motor domain-containing protein
TGME49_201240	TGME49_201240-t26_1	hypothetical protein
TGME49_201250	TGME49_201250-t26_1	histone lysine methyltransferase, SET, putative
TGME49_201260	TGME49_201260-t26_1	sugar transporter ST3
TGME49_201270	TGME49_201270-t26_1	hypothetical protein
TGME49_201380	TGME49_201380-t26_1	chorismate synthase, putative
TGME49_201390	TGME49_201390-t26_1	hypothetical protein
TGME49_201400	TGME49_201400-t26_1	Sin3-associated polypeptide SAP18
TGME49_201520	TGME49_201520-t26_1	protein phosphatase 2C domain-containing protein
TGME49_201630	TGME49_201630-t26_1	protein phosphatase 2C domain-containing protein
TGME49_201640	TGME49_201640-t26_1	hypothetical protein
TGME49_201650	TGME49_201650-t26_1	hypothetical protein
TGME49_201660	TGME49_201660-t26_1	hypothetical protein
TGME49_201670	TGME49_201670-t26_1	DnaJ domain-containing protein
TGME49_201680	TGME49_201680-t26_1	eukaryotic initiation factor-3 subunit 10, putative
TGME49_201690	TGME49_201690-t26_1	BT1 family protein
TGME49_201700	TGME49_201700-t26_1	protein transport protein SEC13
TGME49_201710	TGME49_201710-t26_1	WD domain, G-beta repeat-containing protein
TGME49_201720	TGME49_201720-t26_1	alpha N-terminal protein methyltransferase NTM1
TGME49_201730	TGME49_201730-t26_1	hypothetical protein
TGME49_201740	TGME49_201740-t26_1	hypothetical protein
TGME49_201750	TGME49_201750-t26_1	Tctex-1 family protein
TGME49_201760	TGME49_201760-t26_1	thioredoxin-like associated protein TLAP4
TGME49_201770	TGME49_201770-t26_1	cullin 3, putative
TGME49_201775	TGME49_201775-t26_1	hypothetical protein
TGME49_201780	TGME49_201780-t26_1	microneme protein MIC2
TGME49_201785	TGME49_201785-t26_1	hypothetical protein
TGME49_201790	TGME49_201790-t26_1	centrosomal protein CEP170, putative
TGME49_201800	TGME49_201800-t26_1	ATP synthase-associated protein
TGME49_201810	TGME49_201810-t26_1	hypothetical protein
TGME49_201820	TGME49_201820-t26_1	hypothetical protein
TGME49_201830	TGME49_201830-t26_1	ribosomal protein L37
TGME49_201840	TGME49_201840-t26_1	aspartyl protease ASP1
TGME49_201850	TGME49_201850-t26_1	WD domain, G-beta repeat-containing protein
TGME49_201860	TGME49_201860-t26_1	hypothetical protein
TGME49_201870	TGME49_201870-t26_1	tetratricopeptide repeat-containing protein
TGME49_201880	TGME49_201880-t26_1	cytochrome b-c1 complex subunit 9
TGME49_201890	TGME49_201890-t26_1	MORN repeat-containing protein
TGME49_201895	TGME49_201895-t26_1	hypothetical protein
TGME49_201900	TGME49_201900-t26_1	hypothetical protein
TGME49_202010	TGME49_202010-t26_1	hypothetical protein
TGME49_202020	TGME49_202020-t26_1	DnAK-TPR
TGME49_202025	TGME49_202025-t26_1	poly [ADP-ribose] polymerase, putative
TGME49_202030	TGME49_202030-t26_1	hypothetical protein
TGME49_202040	TGME49_202040-t26_1	hypothetical protein
TGME49_202050	TGME49_202050-t26_1	hypothetical protein
TGME49_202060	TGME49_202060-t26_1	hypothetical protein
TGME49_202065	TGME49_202065-t26_1	hypothetical protein
TGME49_202070	TGME49_202070-t26_1	hypothetical protein
TGME49_202080	TGME49_202080-t26_1	hypothetical protein
TGME49_202090	TGME49_202090-t26_1	hypothetical protein
TGME49_202100	TGME49_202100-t26_1	hypothetical protein
TGME49_202110	TGME49_202110-t26_1	hypothetical protein
TGME49_202120	TGME49_202120-t26_1	hypothetical protein
TGME49_202140	TGME49_202140-t26_1	enoyl-CoA hydratase/isomerase family protein
TGME49_202160	TGME49_202160-t26_1	ABC1 family protein
TGME49_202170	TGME49_202170-t26_1	hypothetical protein
TGME49_202180	TGME49_202180-t26_1	hypothetical protein
TGME49_202190	TGME49_202190-t26_1	hypothetical protein
TGME49_202200	TGME49_202200-t26_1	hypothetical protein
TGME49_202205	TGME49_202205-t26_1	hypothetical protein
TGME49_202210	TGME49_202210-t26_1	nucleoside diphosphate kinase
TGME49_202220	TGME49_202220-t26_1	IMC suture-associated protein ISAP1
TGME49_202230	TGME49_202230-t26_1	histone deacetylase HDAC5
TGME49_202240	TGME49_202240-t26_1	RAP domain-containing protein
TGME49_202250	TGME49_202250-t26_1	hypothetical protein
TGME49_202255	TGME49_202255-t26_1	hypothetical protein
TGME49_202260	TGME49_202260-t26_1	hypothetical protein
TGME49_202280	TGME49_202280-t26_1	WD domain, G-beta repeat-containing protein
TGME49_202285	TGME49_202285-t26_1	EGF family domain-containing protein
TGME49_202290	TGME49_202290-t26_1	membrane protein, putative
TGME49_202300	TGME49_202300-t26_1	inosine triphosphate pyrophosphatase, putative
TGME49_202310	TGME49_202310-t26_1	O-sialoglycoprotein endopeptidase
TGME49_202320	TGME49_202320-t26_1	tRNA-Glu
TGME49_202330	TGME49_202330-t26_1	hypothetical protein
TGME49_202340	TGME49_202340-t26_1	proline dehydrogenase
